exp,subject,condition,session,cond_session,start_date,start_time,box,session_timer,tot_trials,pks_sub,pks_opt,pks_sub_TL_A,pks_sub_TL_B,pks_opt_TL_A,pks_opt_TL_B,food_sub,noFood_sub,food_opt,noFood_opt,pk1_sub,pk1_opt,FE_sub_cumLat,FE_pks_sub,FE_pks_sub_TL_A,FE_pks_sub_TL_B,FE_food_sub,FE_noFood_sub,FE_sub_num_lat,FE_opt_cumLat,FE_pks_opt,FE_pks_opt_TL_A,FE_pks_opt_TL_B,FE_food_opt,FE_noFood_opt,FE_opt_num_lat,Notes
1,1332,FR 1,1,1,220216,80818,3,673,30,4,6,32,78,55,122,1,3,3,3,,,387,10,56,180,2,8,10,110,10,171,113,5,5,10,
1,1332,FR 1,2,2,220217,80340,3,958,30,2,8,0,54,204,229,0,2,4,4,,,197,10,97,284,2,8,10,191,10,328,230,5,5,10,
1,1332,FR 1,3,3,220218,80410,3,945,30,5,5,43,136,98,186,1,4,2,3,,,87,10,123,176,2,8,9,222,10,261,240,5,5,10,
1,1332,FR 1,4,4,220221,80731,3,940,30,5,5,57,126,114,73,1,4,3,2,,,60,10,112,122,2,8,10,178,10,142,181,6,4,10,
1,1332,FR 1,5,5,220222,80450,3,942,30,7,3,58,157,47,50,1,6,2,1,,,92,10,114,121,2,8,10,212,10,176,160,5,5,10,
1,1332,FR 1,6,6,220223,81124,3,955,30,10,0,107,108,0,0,2,8,0,0,,,190,10,116,253,2,8,10,248,10,159,162,5,5,10,
1,1332,FR 1,7,7,220224,80415,3,963,30,8,2,119,86,34,46,2,6,1,1,,,34,10,112,239,2,8,10,469,10,159,219,5,5,10,
1,1332,FR 1,8,8,220225,75909,3,943,30,6,4,58,49,75,89,1,5,2,2,,,248,10,121,29,2,8,10,209,10,210,207,4,6,10,
1,1332,FR 1,9,9,220228,80941,3,936,30,8,2,114,41,0,71,2,6,1,1,,,90,10,106,14,2,8,10,204,10,147,202,4,6,10,
1,1332,FR 1,10,10,220301,80010,3,960,30,8,2,122,11,28,28,2,6,0,2,,,597,10,124,32,2,8,10,460,10,110,215,5,5,10,
1,1332,FR 1,11,11,220302,80828,3,962,30,6,4,57,1,58,58,1,5,2,2,,,625,10,108,1,2,8,10,345,10,88,200,5,5,10,
1,1332,FR 1,12,12,220304,80356,3,985,30,10,0,117,4,0,0,2,8,0,0,,,89,10,117,0,2,8,10,665,10,157,176,5,5,10,
1,1332,FR 1,13,13,220304,80356,3,985,30,10,0,117,4,0,0,2,8,0,0,,,89,10,117,0,2,8,10,665,10,157,176,5,5,10,
1,1332,FR 1,14,14,220307,80700,3,987,30,9,1,122,1,0,55,2,7,1,0,,,388,10,122,66,2,8,10,633,10,246,214,5,5,10,
1,1332,FR 1,15,15,220308,80433,3,1031,30,10,0,130,2,0,0,2,8,0,0,,,285,10,125,41,2,8,10,1190,10,239,213,5,5,10,
1,1332,FR 1,16,16,220309,80645,3,966,30,10,0,137,5,0,0,2,8,0,0,,,25,10,130,7,2,8,10,511,10,118,192,4,6,10,
1,1332,VI 30,17,1,220321,81104,3,1819,30,407,448,58,5,68,102,1,3,3,3,,,43,933,130,71,2,8,10,261,839,104,217,4,6,10,
1,1332,VI 30,18,2,220322,81028,3,1892,30,297,412,59,1,50,128,1,1,4,4,,,38,618,118,7,2,8,10,403,603,91,130,5,5,10,
